TSR,FA,CP
1.5,1,0.31
0.5,0,0.028
2,-0.5,0.318
0.5,-1,0.027
1,0,0.187
3,1.5,0.323
2.5,0,0.373
1,-1,0.178
1.5,0.5,0.292
1,0.5,0.192
3,-1.5,0.285
1.5,-1,0.228
3,-1,0.275
2.5,-0.5,0.372
2,0,0.345
0.5,1,0.032
2,1,0.422
2.5,-1,0.352
1,1.5,0.201
2,0.5,0.395
0.5,-1.5,0.018
3,-0.5,0.263
2.5,1.5,0.415
1.5,-1.5,0.207
0.5,0.5,0.025
3,1,0.32
1.5,-0.5,0.249
2.5,-1.5,0.364
1,1,0.193
2,1.5,0.43
0.5,-0.5,0.022
3,0,0.313
1.5,1.5,0.324
2.5,1,0.392
1,-1.5,0.174
2,-1,0.297
0.5,1.5,0.036
3,0.5,0.318
1,-0.5,0.186
2.5,0.5,0.384
2,-1.5,0.283
1.5,0,0.274
